customer_id,aircraft_id,route_id,depart,arrival,seat_num,class_id,travel_date,flight_num
2,A321,34,CRW,COD,01B,Bussiness,2019-01-26,1117
2,767-301ER,4,JFK,LAX,01E,Economy,2018-09-02,1114
1,ERJ142,9,DEN,LAX,01EP,Economy Plus,2019-12-26,1119
1,CRJ900,30,BUR,STT,01FC,First Class,2018-11-04,1140
5,767-301ER,12,ABI,ADK,02B,Bussiness,2018-07-02,1122
5,ERJ142,18,ANI,BGR,02E,Economy,2020-05-06,1128
8,A321,38,CST,DAL,02EP,Economy Plus,2020-08-09,1148
4,767-301ER,5,LAX,JFX,02FC,First Class,2020-04-06,1115
7,767-301ER,20,AVL,BOI,03B,Bussiness,2020-07-08,1130
5,ERJ142,22,BGR,BJI,03E,Economy,2020-05-31,1132
11,ERJ142,31,BTM,CHA,03EP,Economy Plus,2018-08-02,1141
4,767-301ER,4,JFK,LAX,03FC,First Class,2020-04-30,1114
11,767-301ER,5,LAX,JFX,04B,Bussiness,2020-11-12,1115
8,A321,43,CBM,BOI,04E,Economy,2018-05-02,1153
17,A321,13,ABI,ADK,04EP,Economy Plus,2019-06-03,1123
9,767-301ER,15,CAK,ANI,04FC,First Class,2020-09-10,1125
11,767-301ER,4,JFK,LAX,05B,Bussiness,2020-11-09,1114
10,A321,10,HNL,DEN,05E,Economy,2020-10-11,1120
19,CRJ900,47,DAL,LAX,05EP,Economy Plus,2021-01-13,1157
9,CRJ900,33,CDC,CST,05FC,First Class,2018-02-01,1143
15,A321,14,BQN,CAK,06B,Bussiness,2018-11-02,1124
14,ERJ142,35,STT,CDB,06E,Economy,2019-04-02,1145
19,CRJ900,30,BUR,STT,06EP,Economy Plus,2020-12-17,1140
13,A321,13,ADK,BQN,06FC,First Class,2019-01-05,1123
21,CRJ900,45,CCR,EWR,07B,Bussiness,2020-03-07,1155
14,767-301ER,42,CSG,BOS,07E,Economy,2020-01-25,1152
22,ERJ142,22,BGR,BJI,07EP,Economy Plus,2020-02-09,1132
16,CRJ900,39,COD,SCC,07FC,First Class,2019-05-04,1149
24,A321,14,BQN,CAK,08B,Bussiness,2019-07-22,1124
18,767-301ER,46,CDV,HNL,08E,Economy,2019-07-07,1156
32,ERJ142,31,BTM,CHA,08EP,Economy Plus,2021-03-04,1141
20,CRJ900,36,CHA,COU,08FC,First Class,2019-09-26,1146
25,767-301ER,23,BLV,BFL,09B,Bussiness,2019-03-07,1133
19,767-301ER,32,CLD,CHI,09E,Economy,2018-02-07,1142
47,CRJ900,33,CDC,CST,09EP,Economy Plus,2020-12-15,1143
20,CRJ900,39,COD,SCC,09FC,First Class,2020-05-03,1149
29,A321,38,CST,DAL,10B,Bussiness,2019-11-21,1148
25,767-301ER,44,COU,CAK,10E,Economy,2019-10-21,1154
50,A321,21,BFL,BET,10EP,Economy Plus,2020-08-15,1131
41,A321,34,CRW,COD,10FC,First Class,2019-02-15,1144
29,ERJ142,9,DEN,LAX,11B,Bussiness,2018-05-03,1119
27,767-301ER,46,CDV,HNL,11E,Economy,2018-12-29,1156
44,767-301ER,15,CAK,ANI,11FC,First Class,2020-10-06,1125
33,ERJ142,35,STT,CDB,12B,Bussiness,2020-04-15,1145
28,ERJ142,26,BET,BTM,12E,Economy,2018-12-12,1136
46,A321,8,ORD,EWR,12FC,First Class,2011-07-08,1118
49,767-301ER,15,CAK,ANI,13B,Bussiness,2020-08-19,1125
31,767-301ER,20,AVL,BOI,13E,Economy,2018-12-31,1130
18,767-301ER,1,EWR,HNL,13FC,First Class,2018-04-01,1111
46,A321,25,RDM,BJI,14E,Economy,2020-11-25,1135
